Timestamp;Latitude;Longitude;Bearing;Altitude;Speed (km/h);Location accuracy (in meters);Value X;Value Y;Value Z
2020-03-04 18:47:40;62.24481048;25.75855847;347.3;123.0;1.4001428;8.0;3.323152;-13.857639;1.2545617
2020-03-04 18:47:42;62.24486961;25.75854255;11.8;124.0;1.57;8.0;3.3997664;-8.255207;-0.9672575
2020-03-04 18:47:44;62.24490095;25.75863368;45.7;125.0;1.2747549;8.0;2.4516625;-7.192182;0.7469909
2020-03-04 18:47:46;62.2449163;25.75869384;54.1;127.0;1.19;8.0;-0.047884032;-5.401319;6.081272
2020-03-04 18:47:48;62.24495421;25.75874283;52.6;134.0;1.1506954;8.0;1.2162545;-5.0374002;1.7238252
2020-03-04 18:47:55;62.24496053;25.75876055;52.6;134.0;1.1501739;9.0;0.78529817;-6.6654577;-0.8523358
2020-03-04 18:47:57;62.24496053;25.75876055;52.6;134.0;1.1501739;9.0;1.091756;-8.178593;-0.6991069
2020-03-04 18:47:59;62.2450592;25.75904825;45.9;133.0;1.5001334;16.0;4.548983;-12.74673;0.34476504
2020-03-04 18:48:01;62.24509681;25.75908668;40.7;131.0;1.380326;14.0;1.6950948;-6.5026517;1.0630256
2020-03-04 18:48:03;62.24511489;25.75909449;25.1;128.0;0.58;12.0;-0.641646;-14.355634;11.147403
2020-03-04 18:48:05;62.24514935;25.75909929;43.0;123.0;1.042353;10.0;-2.231396;-13.148955;-1.0247183
2020-03-04 18:48:07;62.24517471;25.75912019;61.7;121.0;1.0001999;9.0;-0.34476504;-7.5561004;-4.31914
2020-03-04 18:48:09;62.24519057;25.75916606;49.2;118.0;1.08;9.0;1.8770541;-7.728483;2.384625
2020-03-04 18:48:11;62.24519945;25.7592255;52.1;117.0;1.2903488;8.0;2.2026656;-12.593501;-2.231396
2020-03-04 18:48:13;62.24520657;25.75924515;52.1;117.0;1.2901549;9.0;-0.2873042;-2.1260512;-0.90979666
2020-03-04 18:48:15;62.24522139;25.75932875;40.2;112.0;1.1403947;9.0;-2.1739352;-13.177686;1.1683705
2020-03-04 18:48:17;62.24521971;25.75933117;40.4;109.0;1.2703543;7.0;0.6703765;-5.6982;-1.4748282
2020-03-04 18:48:24;62.24522841;25.75934699;40.4;109.0;1.2701575;9.0;-1.8291701;-14.269443;11.252748
2020-03-04 18:48:26;62.24522841;25.75934699;40.4;109.0;1.2701575;9.0;0.23942018;-5.8801594;-0.62249243
2020-03-04 18:48:28;62.24528681;25.75965539;128.0;118.0;1.3618003;7.0;2.5091233;-12.5264635;-0.30645782
2020-03-04 18:48:30;62.24527928;25.75967601;128.0;118.0;1.3605882;8.0;5.6790466;-16.539145;-0.37349546
2020-03-04 18:48:32;62.2452601;25.75975903;137.8;116.0;1.29031;6.0;0.7086837;-7.4124484;-1.6184803
2020-03-04 18:48:37;62.24525176;25.75977503;137.8;115.0;1.2709838;7.0;-5.717354;-16.357185;7.6710224
2020-03-04 18:48:37;62.24525176;25.75977503;137.8;115.0;1.2709838;7.0;1.13964;-10.055647;-0.18195933
2020-03-04 18:48:38;62.24525176;25.75977503;137.8;115.0;1.2709838;7.0;2.8634653;-6.090849;1.7908629
2020-03-04 18:48:38;62.24525176;25.75977503;137.8;115.0;1.2709838;7.0;0.076614454;-19.37388;-1.484405
2020-03-04 18:48:39;62.24525176;25.75977503;137.8;115.0;1.2709838;7.0;-15.05474;2.5378537;-1.8387469
2020-03-04 18:48:39;62.24520845;25.75989056;137.8;111.0;0.75179785;11.0;7.795521;-15.093047;-0.6512229
2020-03-04 18:48:40;62.24520845;25.75989056;137.8;111.0;0.75179785;11.0;-2.3175871;-15.734694;10.965444
